,Product,Brand,Price,Review
11,Naruko Rose & Botanic HA Aqua Cubic Hydrating Mask *[森玫瑰] 水立方保湿面膜 EX (10pcs),NARUKO,RM 30.40,"defaultdict(<class 'list'>, {3: ['Love everything except the scent in it. Might be a little overpowering.'], 5: ['Very nice mask to apply ~ leave my skin moisturising and refreshing ~', 'It really gives me the hydration to keep my face from dullness and tiredness as i will wear it daily. its really good mask to repurchase again.', 'Suitable for normal skin, not sticky after applied.', 'Love the rose scent, this mask is really moisture.'], 4: [""I've always loved Naruko masks. The scent is not overpowering, my skin doesn't break out after using it (having a sensitive skin, that's a bgi deal) and it doesn't leave my face sticky.""]})"
12,[Variety Pack] Holika Holika Skin Rescuer Mask Set 5pcs,HOLIKA HOLIKA,RM 39.60,"defaultdict(<class 'list'>, {})"
13,Yadah Collagen Mask Pack 3pcs,YADAH,RM 12.90,"defaultdict(<class 'list'>, {5: ['Firming effect with nice scent.'], 2: ['Feel nice with the thick cotton mask', 'Repurchased this mask N-times. Always my favourite masks. Affordable and does its work so well. Loving it.'], 3: ['Good enough for your daily masking. Get only during good sales.', 'Quite moisturising but a little bit sticky.'], 4: ['Not really like the smell, but the effect is quite good']})"
14,Wonjin Effect Lightening Tone Up Mask 10pcs/box [EXP SEP'20],WONJIN EFFECT,RM 38.00,"defaultdict(<class 'list'>, {5: ['It really brighten your face and there is so much essence!!', 'This mask is very moisturizing and good absorption!']})"
15,Yadah Vitalizing Mask Pack 5pcs,YADAH,RM 34.50,"defaultdict(<class 'list'>, {5: ['Yadah is always my fav mask! Face turn super moisture after using !', 'My favourite mask it make my skin moisture and hydrate after  fatigue day', ""The scent is mild and pleasant, the mask sheet fits well and the essence gives sufficient moisture to skin. Suitable for daily use. One of my favourite masks which I've repurchased several times."", 'good product quality. may repurchase in the future when on sale', 'Adhere to face and it quite moisturising'], 4: ['My all time favorite mask sheet.  It is so hydrating and non sticky.  Always repurchase to restock.']})"
16,JM Solution Honey Luminous Royal Propolis Mask 10pcs,JM SOLUTION,RM 89.00,"defaultdict(<class 'list'>, {5: ['A lot of essence, can apply on neck hands and legs.', 'The essence inside the sheet is abundance ! It makes your skin feel moisturized the next morning.', 'effective in hydrating the skin', 'After trying this mask I feel that this product has been quite successful & I am seriously considering purchasing more.', 'After use my face feel Hydra and Abit sticky', 'Favourite mask & has lots of essence too']})"
17,Yadah Soothing Mask Pack 5pcs,YADAH,RM 34.50,"defaultdict(<class 'list'>, {4: ['This is good, and it is really good on my dry skin.', 'Got it at a great price, a good quality mask.'], 3: [""Pimples getting less after using the mask everyday...not really sticky, moisturised my skin, I not really like the madk sheet, it cant absorb the essence well and easy to get dry compared with other mask's brand.""], 5: ['My favourite masks all time, will repurchase for sure'], 2: ['My all time favourite maskkkk. Will surely purchase againnn.', 'This soothing mask is the best mask ever.. Will purchase again..']})"
18,Yadah Brightening Mask Pack 5pcs,YADAH,RM 34.50,"defaultdict(<class 'list'>, {4: ['Yes, this is good, and it is economy.', 'Love the yadah mask..it feel so moisture and yaa Brightening too'], 5: ['Love the mask that help to brightening and moisturize my face.'], 2: ['Not bad. Just like normal mask', 'Yadah mask really worth to buy..'], 3: ['Not a fan of the scent but the quality of the mask is good.']})"
19,JM Solution Water Luminous Golden Cocoon Mask Black 1pcs,JM SOLUTION,RM 10.90,"defaultdict(<class 'list'>, {5: ['the mask itself have lot of essence and it make my face very moisture after apply..', 'Next day after use, face feels moisturized and skin looks brighter! A lot of mask essence', 'Love it for this mark, after using my skin feel moisturizing and hydrating', 'very moisturizing and hydrating, will buy it again. Good'], 3: [""It is very moisture but i don't like the mask. It is too thick for my liking. I prefer those mask which are thin. Bought this to try it out as there are good reviews on it.""], 2: ['Best mask! Hydrating and moisturising']})"
20,JM Solution Water Luminous Avocado Oil Ampoule Mask 1pcs,JM SOLUTION,RM 9.90,"defaultdict(<class 'list'>, {5: ['Love it, super moist, will repurchase it', 'Good mask, love it. Fully absorbed', 'more moisturising and nourishing', 'The smell is not that pleasant. It may be too much for oily and combination skin.', 'Skin feel soft and moisture after use.  Recommended!'], 4: ['Good product, very moisturising and nourishing']})"
21,Make P:rem Comfort Me. Firming Hole Mask 1pcs,MAKE P:REM,RM 9.90,"defaultdict(<class 'list'>, {})"
22,Sexylook Double Lifting Mask Pack 10pcs [8 Types To Choose],SEXYLOOK,RM 25.00,"defaultdict(<class 'list'>, {1: ['Will definitely not repurchase eventhough its really really cheap. The masks are really drying and literally sucks up all the moisture from my skin even after 5 mins. Will not recommend for dry skin though. (Ps: i actually bought the one for hydration. Still didnt work :L)'], 3: ['Suitable for daily use mask, the content and essence inside was just little, the mask is not as moisturizing as the others, but consider about buying from such a price, it still worth it, but the effect was just so-so, not so effective.'], 5: ['Good mask for everyday use. Covers the neck. Will repurchase!', 'This product not sticky and moisture', 'Cheap and normal mask to use from sexylook', 'Great product, can fix in my face perfectly']})"
23,Cosrx Ultimate Moisturizing Honey Overnight Mask 60g,COSRX,RM 49.00,"defaultdict(<class 'list'>, {1: ['This somehow irritates my skin! Too bad :/'], 5: ['Bought it for a friend and she loved it. Wake up with refresh skin.', 'extremely hydrating if apply it overnight, i love it!'], 3: [""I expected a lot more from this cause many people rave it as the best moisturizer but upon application, my face felt very sticky and it doesn't feel moisturizing at all... So, it's a no from me""], 4: ['Tried this hoping for hydrated skin - does not make much difference. Sometimes also good for base moisturiser before make up etc. Love that versatility.', ""An okay mask. Nothing special. Not super moisturizing. Just that it kinda seals the moisture into my skin. That's all.""]})"
24,Innisfree Brightening Pore Sleeping Mask 100ml,INNISFREE,RM 90.00,"defaultdict(<class 'list'>, {})"
25,Make P:rem Comfort Me. Brightening Hole Mask 1pcs,MAKE P:REM,RM 9.90,"defaultdict(<class 'list'>, {})"
26,JM Solution Water Luminous Mask Starter Set,JM SOLUTION,RM 91.90,"defaultdict(<class 'list'>, {})"
27,B.liv Velvety Soft Mask 4pcs/box [#Sakura Bliss - Moisturizing],B.LIV,RM 15.00,"defaultdict(<class 'list'>, {5: ['I love this mask! My skin feels really moisturizing afterwards. Wonderful amount of essence & a comfortable sheet mask.', 'Good products. Delivery in good condition.Hydrating and moisturize after use'], 1: ['it feels like a layer on my skin after you leave it for overnight'], 2: ['Very soothing. I like the texture of my skin afterwards. Need to repurchase and restock.', 'After i use this mask from b.liv make my skin look bright n smooth', 'It gave me refreshing feel on my skin']})"
28,Make P:rem Comfort Me. Barrier Hole Mask 1pcs,MAKE P:REM,RM 9.90,"defaultdict(<class 'list'>, {})"
29,B.liv Velvety Soft Mask 4pcs/box [4 Types To Choose],B.LIV,RM 25.00,"defaultdict(<class 'list'>, {5: ['The skin is glowing and watery after using this mask', 'I love this sheet mask! My skin feels soft afterwards & the smell is just nice for me.', 'I love this mask! My skin feels really moisturizing afterwards. Wonderful amount of essence & a comfortable sheet mask.', 'Good products. Delivery in good condition.Hydrating and moisturize after use', 'I like the mask smell . My face will feel bright after apply this . Recommend this !'], 2: [""It's really work on my skin and helps my skin stay hidrating.""]})"
30,B.liv Velvety Soft Mask 4pcs/box [#Oh My Cactus! - Replenishing],B.LIV,RM 15.00,"defaultdict(<class 'list'>, {5: ['I love this sheet mask! My skin feels soft afterwards & the smell is just nice for me.', 'I like the mask smell . My face will feel bright after apply this . Recommend this !'], 2: ['Worth mask to try. My first try and this works good on my skin.', ""this is my first time trying bliv sheet mask. the serum/moisturizer is quite thicker than other brands that i've been used."", 'So worth to get a good mask during sales', 'Apply twice a week, skin felt smooth and hydration...']})"
31,Yadah Collagen Mask Pack 5pcs,YADAH,RM 34.50,"defaultdict(<class 'list'>, {5: ['Yadah is always my fav mask! Face turns Super moisture after using it !', 'Nice for everyday mask use! The excess essence can apply on my hand.', 'The mask does calm my skin. It is good for the price'], 4: ['This is good but I do not like the smell.', 'Bought it during sales very cheap price. Satisfied'], 2: ['Not really like the quality of the masksheet ...ingredient is natural and only little fragrance, effect so so....']})"
32,Hada Labo Vitamin Face Mask 1pcs [3 Types To Choose],HADA LABO,RM 7.30,"defaultdict(<class 'list'>, {5: ['Been using this mask forever, definitely repurchase', 'Bought the vit C mask. Nice for fading the acne scars.']})"
33,JM Solution Water Luminous S.O.S. Ringer Mask 1pcs,JM SOLUTION,RM 8.90,"defaultdict(<class 'list'>, {3: [""it doesn't cause me breakout, overall good""], 5: ['So nourished after using it good', 'First time trying this mask pack, nice and moisturising, 10/10 will repurchase.', 'I love it very much, very moisturizing~Oily skin also can use.'], 2: ['It moisturize but the mask too soft.. always move down from my face..', 'Very hydrating mask. But the fragrance is too much. Still will repurchase tho']})"
34,JM Solution Honey Luminous Royal Propolis Mask 1pcs,JM SOLUTION,RM 8.90,"defaultdict(<class 'list'>, {5: ['The essence is very watery, however it will do. Face seems moisturized after use and nothing special for me.'], 3: ['Good product, suitable for all skin, will buy it again.'], 2: ['Love this mask! Its thin but lot essence', 'Am JM fans, always is my first choice!', 'a lot of essence, can apply the extra essence on neck'], 1: ['Very nourishing mask. Instant boost of hydration.']})"
35,JM Solution Mama Mask Starter Set,JM SOLUTION,RM 18.96,"defaultdict(<class 'list'>, {5: ['Bought it at promotion. This starter is really good to try each type of masks.', ""It's moisturizing and great for its price""]})"
36,Hada Labo + Nourishing Mask 1pcs,HADA LABO,RM 8.72,"defaultdict(<class 'list'>, {4: ['I dont know how to explain about this product, but so far it did not cause any breakouts, but i dont feel anything after the applications']})"
37,Dr.Jart+ Dermask Soothing Hydra Solution 5pcs/box,DR.JART+,RM 76.00,"defaultdict(<class 'list'>, {5: ['This is super moisture but cost abit higher. Anyway, it worth', 'Great face mask. Dr Jart face masks are always very hydrating and of good quality', 'Really effective. If my face itchy and red tonight after i applied it it become soft and smooth', 'good soothing mask. super like!'], 3: ['Just an OK  result. A bit pricey though.'], 4: ['overall not bad, feels smooth after apply.']})"
38,Mirae Aromatherapy Whitening Mask 1pcs,MIRAE,RM 9.80,"defaultdict(<class 'list'>, {1: [""Nice mask, very thin layer, but I don't see any apparent effect on whitening after using it once compare to another product.""], 4: [""Said is aromatherapy but did not felt a strong smell. Can't really see the effect the whitening effect but it did moisturized my skin""], 5: ['Best best best!!!! I will buy this again']})"
39,JM Solution Marine Luminous Pearl Deep Moisture Mask Pearl 1pcs,JM SOLUTION,RM 8.90,"defaultdict(<class 'list'>, {3: [""Good product, but it doesn't have much effect on me.""], 2: ['Very nourishing and give skin a boost of hydration', 'Complete step for face routine', 'It nice for me to use..........', 'love this much, a lot of essence', 'this is so good for dry skin a']})"
40,JM Solution Glow Luminous Aurora Mask 1pcs,JM SOLUTION,RM 8.90,"defaultdict(<class 'list'>, {5: ['Love this mask! So much essence soaked inside!', 'Nice packaging and nice mask. Hydrating and no irritation.'], 4: ['my face appears glowy in the morning after using this mask. this mask also has more than enough essence in it. the only thing about this mask that i dislike is the scent. smells too strong in my opinion.'], 2: ['Nice mask moisture but no whitening effect', 'New addition for occasional treat'], 1: ['This product is just normal for me']})"
41,Hada Labo + Brightening Mask 1pcs,HADA LABO,RM 8.72,"defaultdict(<class 'list'>, {2: [""It's an okay mask for weekly usage."", 'I think its did his job to brightening up but need to consistently use it'], 5: ['Doesnt break out my face. Have a lil bit brigthening effect and it does hydrates your face.']})"
42,Yadah Pore Care Mask Pack 3pcs,YADAH,RM 20.70,"defaultdict(<class 'list'>, {4: ['Can be used as daily mask, an average product', 'Make skin smooth and clean! Must use frequently to better the skin'], 2: ['A great mask to make my skin clean and hydrated', ""Feel nice to use when there's breakouts."", 'im in so loveee with yadah sheets masks', 'Not really see the effect after applying for a month. But overall okay.']})"
43,JM Solution Water Luminous Avocado Oil Ampoule Mask 10pcs,JM SOLUTION,RM 98.00,"defaultdict(<class 'list'>, {5: ['JM Solution always my first choice of mask', 'Yes!!! I like this mask so much!!!', 'very mosturizing and absolutely rich in contents!', ""Very nice and won't sticky after use. Suitable for oily skin"", 'After use feel hydrating and calming, fit the skin well'], 4: ['Good product. Very moisturising and nourishing']})"
44,JM Solution Japan Centella Care Mask 5pcs,JM SOLUTION,RM 45.00,"defaultdict(<class 'list'>, {5: ['Always the best for my sensitive skin ! Whenever I have redness on my cheek, redness will vanished on the next day after using this mask', 'I already use this mask have almost 5 boxes, super love this, is suitable for skin type which have redness, pimple, oily and blackhead, the result of after using this mask is really nice..\nAnd i saw a post to teach you to identify the product is true or false, HERMO never disappoint me, only sell genuine products.', ""Bought twice of this mask already, useful when pimples pops out. Can soothing my skin very well. It's thin and comfortable to use."", 'Love this mask. Nice and juicy. Skin looks hydrated and bright'], 2: ['Fast delivery and product is suitable to my skin', 'Very nice mask. Recommended. Worth a try.']})"
45,Yadah Vitalizing Mask Pack 10pcs,YADAH,RM 69.00,"defaultdict(<class 'list'>, {5: ['good product quality. may repurchase in the future when on sale', 'Been repurchased few times! Suitable for daily use', 'So great on my skin. Will definitely repeat again. It gives my skin enough hydration'], 4: ['A quality mask soaked with generous amounts of serum. Plus, it was on a great price!', 'Got it during promo... fits perfectly on the face'], 2: ['skin feel moisturised but, not significant  effect']})"
46,Nivea Extra White Make Up Starter 3 In 1 Whitening Pore Minimizing Mask 2pcs,NIVEA,RM 9.90,"defaultdict(<class 'list'>, {5: ['It is fast and efficient to get your skin ready to make up', 'good product quality. good bargain during sales', 'Love the protection it provides my skin.', 'Works on me, loving the effects!'], 3: ['It works like the normal mask, but still worth to try when it got sales.'], 4: ['Affordable daily mask during sale']})"
47,Yadah Soothing Mask Pack 10pcs,YADAH,RM 69.00,"defaultdict(<class 'list'>, {5: ['Yadah is always my fav mask! Super moisture !', 'The mask are still okay but quite worth it for the price', 'Been repurchased few times already! Suitable for daily use!'], 4: ['Feeling soothes after using this ... suitable for sensitive skin', 'Got it at a great price, a good quality mask.', 'Very soothing... got it during promotion.. will puchase again']})"
48,Eunyul Natural Moisture Mask Pack 10pcs [14 Types To Choose],EUNYUL,RM 19.00,"defaultdict(<class 'list'>, {5: ['Love it very hydrating and a good bargain!', 'Used as daily mask. So so not sure good or not since one pimples come out after', 'used as a daily mask, very moisturising\npurchased vitamin and coenzyme, both has brightening effect', 'Worth for the price! It hydrates my skin well.', 'Can see become fair after used', ""Bought 50 of them and currently using it. Quite moisturize and won't make our skin sensitive. Suitable for daily use.  Worth the price and highly recommend""]})"
49,Naruko Narcissus Repairing Mask 水仙DNA奇迹修护面膜 (10pcs/box),NARUKO,RM 30.40,"defaultdict(<class 'list'>, {5: ['This mask really hydrate my skin', 'Great.. And comfortable after using it', 'It hydrates and moistures my skin.', 'I like this!!! Very soothing and comfortable', 'One of my favorite mask. Skin looks bright and soft after use'], 4: ['One of my favorite mask. I always apply this on my face whenever I have breakout. Suitable for sensitive skin.']})"
50,Yadah Anti-T Mask Pack 1pc [New Packaging],YADAH,RM 6.90,"defaultdict(<class 'list'>, {5: ['good product quality. good bargain during sales', 'Not bad too this facial mask, will repurchase', 'bought it during sales super cheap!  so worth it'], 4: ['Worth buying during promo price. Good quality mask.'], 1: [""Don't like the sticky n texture.""], 3: ['Its good but not gonna repurchase it']})"
51,Mirae Aromatherapy Soothing Mask 1pcs,MIRAE,RM 9.80,"defaultdict(<class 'list'>, {1: [""It's very thin layer and sticks on well to the face, but it is not the type of mask I would like to use it again as I'm more used to other types of mask.""]})"
52,Laneige Water Sleeping Mask 70ml,LANEIGE,RM 120.00,"defaultdict(<class 'list'>, {5: ['Always love using this sleeping water mask. Non sticky and making your face smooth and keep hydrated.', 'Nice scent, soft, moisturizing sleeping mask', 'I love this mask. Really suits my skin and it makes my skin so good every morning.', 'Perfect moisture, high cp value', 'It makes your skin soft and radiant', 'My skin Feeling soft the next day morning . Love it!!']})"
53,Hada Labo + Oil Control Mask 1pcs,HADA LABO,RM 8.72,"defaultdict(<class 'list'>, {5: ['Feels good to apply! Feels well hydrated after using', 'Makes my skin softer  and smooth.', 'good n moisture.... suitable for oily skin'], 2: ['This mask i use it as a quick mask saver!!!', 'Lightweight mask... In love gile sbb texturenya light sgt mcm air x sticky mcm brand lain...lepas pakai rasa moist je kulit.. Will repurchase...']})"
54,Senka Perfect Aqua Bouncy Moist Mask 1pcs,SENKA,RM 11.90,"defaultdict(<class 'list'>, {2: ['Senka mask never disappointing me , quality come with safe ingredients']})"
55,Dr.Jart+ Shake & Shot Rubber Mask [4 Types To Choose],DR.JART+,RM 32.40,"defaultdict(<class 'list'>, {4: ['Easy to use ,very moisturizing', 'A very good product but a bit pricey'], 5: ['The texture  of the rubber mask is very comfortable and after using this mask I feel my skin very moist!', ""haven't use it but like the packages and the free gift"", 'It was very moisturising but a little pricey'], 1: [""the instant effect is real.. my face is glowing after using it BUT... after few days.. my face started to break out badly... so i'm not gonna buy this again TwT""]})"
56,Dr.Jart+ Dermask Vital Hydra Solution 5pcs/box,DR.JART+,RM 80.00,"defaultdict(<class 'list'>, {5: ['Love this mask , super hydrating', 'Love this mask so much, gentle and hydrating!!!', 'Love this mask! It is very moisture.', 'Very moisturising face mask. Non sticky.', 'Smell good, very hydrating and non-sticky, love it'], 4: ['It is very moisture. My face is bright and full of water']})"
57,Naruko Taiwan Magnolia Brightening and Firming Mask EX *[白玉兰鑽采] 超紧緻美白拉提面膜EX (10pcs),NARUKO,RM 37.05,"defaultdict(<class 'list'>, {5: ['Must buy it! I feel good after used it.  I will purchase again', ""Not sure about the brightening effect but it's moisturising, it even covers up to my neck. Will definitely repurchase."", 'A must try mask, it brighten your skin after applying. Try it', 'Love Naruko mask. Skin feel moisturized and look brighter. Continuous usage will give visible effect of brightening.'], 2: ['I dont really like the mask it feels so sticky and the mask is too big'], 4: ['Not bad considering the price, face do feel brighter and firmer after use :)']})"
58,Holika Holika Pig Clear Blackhead 3-Step Kit (No Water) 3pcs,HOLIKA HOLIKA,RM 38.70,"defaultdict(<class 'list'>, {})"
59,Hada Labo + Firming Mask 1pcs,HADA LABO,RM 8.72,"defaultdict(<class 'list'>, {5: ['Feels refreshing! The mask is very soothing', 'Very good product. Will purchase again.']})"
60,Dr.Morita Silk Fiber Whitening Mask 3pcs/box,DR.MORITA 森田药妆,RM 25.50,"defaultdict(<class 'list'>, {2: ['Very value, very smooth mask i have been use'], 4: [""dr morita's silk fibre mask is quite alright. i dont notice amazing immediate effects but it feels good on skin. dont mind repurchasing on good sales""]})"
61,Senka Perfect Aqua Bouncy Bright Mask 1pcs,SENKA,RM 9.90,"defaultdict(<class 'list'>, {2: ['So so on the result of mask, still prefer the old version of mask']})"
62,Dr.Jou Six Essence Hyaluronic Acid Sensitive Skin Soothing Moisture Mask Sheet (5pcs/box),DR.JOU,RM 36.70,"defaultdict(<class 'list'>, {5: ['Hydrating for my sensitive skin, no irritation, and the paper sheet is nice.', 'Does not irritate the skin. Worth price. Recommend.', 'nice mask suitable with my sensitive skin'], 3: ['An OK mask, doesnt do much to my skin...'], 4: ['I love the mask so much as it really makes my skin feels good and soothe! Highly recommended.', 'for this line of dr.jou mask ive tried the whitening n revitalising. so far im liking this the best. the essence doesnt sting my eyes n it feels nice on my skin.']})"
63,Acelabs Diamond Luminous Intense Brightening Mask 10pcs [EXP NOV'20],ACELABS,RM 69.00,"defaultdict(<class 'list'>, {5: ['This sheet fits my face and thin which i very like it! Recommended!', 'very hydrating and brightening mask, has a nice fitting and smells really pleasant too~ highly recommended', 'very good quality mask and it has lots of essence'], 2: ['There are lots of essence in the mask pack. Face is moisturized and brighten after using it.', 'Bought for my brothers, he says the effects is so so. More like hydrating mask, nothing much'], 4: ['Each sheet of mask is highly concentrated and nourishing for the skin']})"
64,Mentholatum Botanics Cotton Mask 1pcs [3 Types To Choose],MENTHOLATUM BOTANICS,RM 6.32,"defaultdict(<class 'list'>, {5: ['The water lily coconut mask has the best smell. Delicious!']})"
65,JM Solution MAMA Pureness Mela Clear Mask 10pcs,JM SOLUTION,RM 89.00,"defaultdict(<class 'list'>, {5: ['This sheet really have tiny holes and im quiet unpleasant with the smell but i think its okay. The essence like creamy milk and i got excess essence which i can apply to neck, arm and leg.']})"
66,Yadah Collagen Mask Pack 10pcs,YADAH,RM 69.00,"defaultdict(<class 'list'>, {5: ['Feel fresh and smooth, thumb up'], 3: [""Nice size for my face, easy to apply but not as rich in essence compared to other collagen masks. It is cotton based and I didn't experience any irritation after applying so it's an okay mask ;)""], 1: ['Very fast delivered , but the packaging condition is very poor .. the masks is not packed in a box. Very bad first purchase from Yadah.'], 2: ['First time purchase mask sheets from Yadah.  The size fits me well but the essence is not as rich as mask sheets from sister diary.  Will not repurchase.']})"
67,Make P:rem Safe Me Relief Moisture Mask 15 1pcs,MAKE P:REM,RM 9.90,"defaultdict(<class 'list'>, {5: ['This mask is hydrating just the size is not fit my face.'], 2: ['Occasional treat for face mask']})"
68,Secret Nature Mask Sheet 10pcs [5 Types To Choose],SECRET NATURE,RM 69.00,"defaultdict(<class 'list'>, {})"
69,The Face Shop Real Nature Face Mask 1pc [21 Types To Choose],THE FACE SHOP,RM 5.50,"defaultdict(<class 'list'>, {3: ['Normal moisturizing effect but it is cheap'], 2: ['The smell like artificial essence..Not suitable for sensitive skin...', 'feel smooth after use good with affordable price', 'feel smooth after use good with affordable price'], 1: ['Normal mask no special effect, overall acceptable', 'Normal facial mask for daily use']})"
70,Naruko HA Hydro-Lock Moisturizing Mask 玻尿酸锁水保湿面膜 (10pcs/box),NARUKO,RM 39.90,"defaultdict(<class 'list'>, {5: ['Very moist my face. I love this product', 'Loooovveeee this mask. Worth every drop of essence in it.', 'Always in my bucket list ~ very moisturizing and feel refreshing and hydrating after applied', 'Good mask. Not sticky at all after use', 'Good for dehydrated skin. No stinging feeling. Good value for money'], 3: ['good for everyday use but i do not see a huge difference after using it...']})"
71,Utena Premium Puresa Golden Jelly Mask 33g x 3s [#Collagen],UTENA,RM 33.92,"defaultdict(<class 'list'>, {2: ['This mask contains a layer of thick mucous-ish gel on the mask, i feel its not very well spread. And upon usage of the mask, i can still feel the layer of mask on the face, does not feel well absrob', 'I dont really prefer this mask,hmm it have a good comment from my frns and media but not for me I feel abit irrating when put it on my face abit allergic with this mask.I prefer doctor morita or naruko mask sheets.some more this mask bit pricey compare with others brands.U can try out the jelly(essence) is too much...'], 5: ['I love this mask ! Its so hydrating and after using it makes my face glow.'], 4: ['Good to use. Havent see the effect yet']})"
72,JM Solution Active Pink Snail Brightening Mask Prime 10pcs,JM SOLUTION,RM 69.00,"defaultdict(<class 'list'>, {5: ['JM latest mask , abit sticky and mask syrum not much. But the price is very cheap'], 4: ['Good for everday use. Result so so only.']})"
